ID Modele;Nom Modele;ID Propriete;Nom
9;Traité - Modèle MP3;26758;Stockage numérique|Capacité
9;Traité - Modèle MP3;26765;Système audio|Sous-catégorie
9;Traité - Modèle MP3;26536;Système radio|Bandes du tuner
9;Traité - Modèle MP3;25;Taille écran
9;Traité - Modèle MP3;35;Type de mémoire
9;Traité - Modèle MP3;36;Capacité  mémoire
9;Traité - Modèle MP3;37;Type d'écran
9;Traité - Modèle MP3;38;Encodage direct
9;Traité - Modèle MP3;39;Tuner FM
9;Traité - Modèle MP3;40;Batterie
9;Traité - Modèle MP3;41;Dictaphone
9;Traité - Modèle MP3;548;Spécificités Web Déstockage
9;Traité - Modèle MP3;75;Transmetteur FM
10;Traité - Modèle Multimédia;4889;Spécificités Web Déstockage
10;Traité - Modèle Multimédia;26646;Disque dur|Capacité
10;Traité - Modèle Multimédia;26327;Ecran|Diagonale
10;Traité - Modèle Multimédia;27006;Ecran|Type d'affichage
10;Traité - Modèle Multimédia;25;Taille écran
10;Traité - Modèle Multimédia;35;Type de mémoire
10;Traité - Modèle Multimédia;36;Capacité  mémoire
10;Traité - Modèle Multimédia;37;Type d'écran
10;Traité - Modèle Multimédia;38;Encodage direct
10;Traité - Modèle Multimédia;39;Tuner FM
10;Traité - Modèle Multimédia;40;Batterie
10;Traité - Modèle Multimédia;41;Dictaphone
10;Traité - Modèle Multimédia;548;Spécificités Web Déstockage
10;Traité - Modèle Multimédia;75;Transmetteur FM
11;Traité - Modèle PDA;4889;Spécificités Web Déstockage
11;Traité - Modèle PDA;28519;Appareil photo numérique|Caméra face arrière
11;Traité - Modèle PDA;26327;Ecran|Diagonale
11;Traité - Modèle PDA;26328;Ecran|Taille diagonale (métrique)
11;Traité - Modèle PDA;26330;Processeur|Cadence d'horloge
11;Traité - Modèle PDA;26588;Réseaux|Connectivité sans fil
11;Traité - Modèle PDA;26369;Système d'exploitation fourni|Type
11;Traité - Modèle PDA;27068;Système GPS|Navigation
11;Traité - Modèle PDA;25;Taille écran
11;Traité - Modèle PDA;42;Fonction GPS
11;Traité - Modèle PDA;48;APN
11;Traité - Modèle PDA;50;Mains libres
11;Traité - Modèle PDA;53;Cartographie
11;Traité - Modèle PDA;548;Spécificités Web Déstockage
11;Traité - Modèle PDA;77;Bluetooth
11;Traité - Modèle PDA;78;WiFi
11;Traité - Modèle PDA;8;Systeme d'exploitation
11;Traité - Modèle PDA;86;Micro-processeur
12;Traité - GPS autonome;4889;Spécificités Web Déstockage
12;Traité - GPS autonome;26925;Ecran intégré|Taille de diagonale
12;Traité - GPS autonome;27012;Lecteur numérique|Lecteur numérique
12;Traité - GPS autonome;26928;Logiciels GPS|Cartes comprises
12;Traité - GPS autonome;26933;Système GPS|Fonctions-services du GPS
12;Traité - GPS autonome;26865;Système GPS|Utilisation recommandée
12;Traité - GPS autonome;26930;Système GPS|Connexion PC
12;Traité - GPS autonome;25;Taille écran
12;Traité - GPS autonome;454;Bluetooth
12;Traité - GPS autonome;455;Reality View
12;Traité - GPS autonome;456;Données Radars
12;Traité - GPS autonome;457;Guidage avancé sur voie
12;Traité - GPS autonome;477;Transmetteur FM
12;Traité - GPS autonome;50;Mains libres
12;Traité - GPS autonome;51;Usage GPS
12;Traité - GPS autonome;52;Antenne
12;Traité - GPS autonome;53;Cartographie
12;Traité - GPS autonome;54;Info trafic
12;Traité - GPS autonome;548;Spécificités Web Déstockage
12;Traité - GPS autonome;55;Lecteur Multimédia
12;Traité - GPS autonome;56;Processeur
12;Traité - GPS autonome;57;Mémoire
12;Traité - GPS autonome;58;Fonction text to speech
13;Traité - Webcam AM;4889;Spécificités Web Déstockage
13;Traité - Webcam AM;26612;Capteur optique|Nombre total de pixels
13;Traité - Webcam AM;26866;Capteur optique|Résolution du Capteur
13;Traité - Webcam AM;26343;En-tête|Compatibilité
13;Traité - Webcam AM;26525;Entrée vidéo|Interface informatique
13;Traité - Webcam AM;26611;Entrée vidéo|Fréquence d'images
13;Traité - Webcam AM;107;Audio
13;Traité - Webcam AM;13;Nb de megapixels
13;Traité - Webcam AM;23;Connexion et interfaces
13;Traité - Webcam AM;548;Spécificités Web Déstockage
13;Traité - Webcam AM;59;Compatibilité
13;Traité - Webcam AM;62;Capture
13;Traité - Webcam AM;73;Garantie
14;Traité - Modèle Smartphone;4889;Spécificités Web Déstockage
14;Traité - Modèle Smartphone;26965;Affichage|Diagonale
14;Traité - Modèle Smartphone;26966;Affichage|Taille en diagonale (système métrique)
14;Traité - Modèle Smartphone;26866;Capteur optique|Résolution du Capteur
14;Traité - Modèle Smartphone;26972;Communications|EDGE (Enhanced Data Rates For Global Evolution)
14;Traité - Modèle Smartphone;26976;Communications|Interface sans fil
14;Traité - Modèle Smartphone;26977;Communications|Transmission des données
14;Traité - Modèle Smartphone;26982;Téléphone mobile|Bande
14;Traité - Modèle Smartphone;26984;Téléphone mobile|Famille de système d'exploitation
14;Traité - Modèle Smartphone;26987;Téléphone mobile|génération à haut débit mobile
14;Traité - Modèle Smartphone;26988;Téléphone mobile|Haut débit Mobile 3G
14;Traité - Modèle Smartphone;26989;Téléphone mobile|Système d'exploitation
14;Traité - Modèle Smartphone;25;Taille écran
14;Traité - Modèle Smartphone;42;Fonction GPS
14;Traité - Modèle Smartphone;45;Accès au(x) réseau(x)
14;Traité - Modèle Smartphone;46;Edge
14;Traité - Modèle Smartphone;47;3G
14;Traité - Modèle Smartphone;48;APN
14;Traité - Modèle Smartphone;50;Mains libres
14;Traité - Modèle Smartphone;53;Cartographie
14;Traité - Modèle Smartphone;548;Spécificités Web Déstockage
14;Traité - Modèle Smartphone;77;Bluetooth
14;Traité - Modèle Smartphone;78;WiFi
14;Traité - Modèle Smartphone;8;Systeme d'exploitation
14;Traité - Modèle Smartphone;86;Micro-processeur
15;Traité - Disque dur;4889;Spécificités Web Déstockage
15;Traité - Disque dur;26505;Contrôleur de stockage|Type de bus
15;Traité - Disque dur;27132;Contrôleur de stockage|Type d'interface
15;Traité - Disque dur;26335;Contrôleur de stockage|Type
15;Traité - Disque dur;26665;Disque dur|Facteur de forme
15;Traité - Disque dur;26666;Disque dur|Format (Court)
15;Traité - Disque dur;26649;Disque dur|Interface
15;Traité - Disque dur;26662;Disque dur|Taille de la mémoire tampon
15;Traité - Disque dur;26646;Disque dur|Capacité
15;Traité - Disque dur;26648;Disque dur|Vitesse de rotation
15;Traité - Disque dur;26445;Stockage|Type
15;Traité - Disque dur;23;Connexion et interfaces
15;Traité - Disque dur;33;Connectiques
15;Traité - Disque dur;36;Capacité  mémoire
15;Traité - Disque dur;548;Spécificités Web Déstockage
15;Traité - Disque dur;68;Type de disque
15;Traité - Disque dur;69;Format
15;Traité - Disque dur;70;Ecran
15;Traité - Disque dur;71;Mémoire cache
15;Traité - Disque dur;78;WiFi
15;Traité - Disque dur;88;Capacité
15;Traité - Disque dur;89;Vitesse de rotation
15;Traité - Disque dur;90;eSATA
15;Traité - Disque dur;91;USB
15;Traité - Disque dur;92;IDE
15;Traité - Disque dur;93;SATA
15;Traité - Disque dur;94;FireWire
15;Traité - Disque dur;95;Ethernet
16;Traité - Pack clavier/souris;4889;Spécificités Web Déstockage
16;Traité - Pack clavier/souris;26343;En-tête|Compatibilité
16;Traité - Pack clavier/souris;26399;Périphérique(s) d'entrée|Technologie de connectivité
16;Traité - Pack clavier/souris;26625;Périphérique(s) d'entrée|Technologie de détection de mouvement
16;Traité - Pack clavier/souris;29343;Périphérique(s) d'entrée|Type de clavier
16;Traité - Pack clavier/souris;100;Liaison
16;Traité - Pack clavier/souris;101;Nombre de touches
16;Traité - Pack clavier/souris;18;Utilisation
16;Traité - Pack clavier/souris;33;Connectiques
16;Traité - Pack clavier/souris;548;Spécificités Web Déstockage
16;Traité - Pack clavier/souris;59;Compatibilité
16;Traité - Pack clavier/souris;73;Garantie
16;Traité - Pack clavier/souris;96;Technologie
16;Traité - Pack clavier/souris;97;Liaison souris
16;Traité - Pack clavier/souris;98;Résolution
16;Traité - Pack clavier/souris;99;Type de clavier
17;Traité - Clavier AT;4889;Spécificités Web Déstockage
17;Traité - Clavier AT;26343;En-tête|Compatibilité
17;Traité - Clavier AT;26399;Périphérique(s) d'entrée|Technologie de connectivité
17;Traité - Clavier AT;26625;Périphérique(s) d'entrée|Technologie de détection de mouvement
17;Traité - Clavier AT;29343;Périphérique(s) d'entrée|Type de clavier
